statement|future|source
To that end, Albania has modestly presented for the first time its candidacy to become a member of the Economic and Social Council for the period 2005-2007.|no|UN General Debates Corpus
What is even more important is that this was achieved without spilling blood and without bellicose threats.|no|UN General Debates Corpus
To consolidate this process with the support of the Organization of American States, we have already eliminated all the landmines that were placed around our country years ago, and we can now say with pride that we are a country that is entirely free of landmines.|no|UN General Debates Corpus
We were at the threshold of peace in the south when another war broke out in Darfur as the result of a rebel movement begun by some tribes and supported by foreign forces.|no|UN General Debates Corpus
The rebel movementís terrorist action was not directed against the Government only, but against those tribes that refused to join them.|no|UN General Debates Corpus
Previously, those conflicts were settled according to traditional customs and norms.|no|UN General Debates Corpus
There were other causes for regional conflict: an influx of arms and the interference of neighbouring countries that tried to exploit the tense situation, encouraging rebellions against the Government by training and arming certain groups.|no|UN General Debates Corpus
This conflict, which was imposed on the Government, has created extremely complicated and dire humanitarian conditions.|no|UN General Debates Corpus
Furthermore, out of its belief in a peaceful settlement as a strategic choice, the Government entered into negotiations with the rebels under the auspices of the President of Chad, which culminated in the Abashi agreement in 2003, but that agreement was later violated by the rebels.|no|UN General Debates Corpus
However, this did not weaken the Governmentís resolve to continue its efforts, until we attained the ceasefire agreement in NíDjamena.|no|UN General Debates Corpus
In order to cooperate with the African Union, we sent a high-level delegation to the first round of negotiations at Addis Ababa; our delegation was given full authority to reach a peaceful settlement with the rebels.|no|UN General Debates Corpus
They insisted on conditions that were impossible to implement.|no|UN General Debates Corpus
Security Council resolution 1564 (2004) did not consider my Governmentís efforts to contain the humanitarian crisis in Darfur, which led to dÈtente in the situation.|no|UN General Debates Corpus
Our efforts were not limited to 43  cooperating with the international community.|no|UN General Debates Corpus
We do not want a committee like that headed by Richard Butler, who prepared his report at another location where it was signed and submitted to the Security Council indicating that it represented the position of the Organization.|no|UN General Debates Corpus
The United Nations was established six decades ago as an expression of the aspirations of all the members of the international community to save the world from the scourge of war, to maintain international peace and security, and to achieve cooperation among nations and people in various fields.|no|UN General Debates Corpus
Roughly two decades after its inception, on 15 June 1964, to be exact, the Group of 77 was established to express the aspirations of scores of developing countries in Asia, Africa and Latin America to work with each other under the umbrella of the United Nations, with a view to promoting their common economic interests, developing their negotiating capacity regarding various international economic issues and increasing the bonds of their technical cooperation.|no|UN General Debates Corpus
In particular, I wish to single out the absence of democracy and the prolonged slackening of political reform evident in a number of countries of the South, and probably most apparent in the past few years in the Middle East, where they have been at the root of most of the harsh social and economic suffering currently plaguing that region.|no|UN General Debates Corpus
Political reform and people’s participation in decision-making are no longer an option but have become a definite necessity.|no|UN General Debates Corpus
As the history of economic relations has shown, the States that have made the greatest economic achievements — whether in the North or in the South — have been those which were most committed to the exercise of democracy.|no|UN General Debates Corpus
We also welcome the accords that were signed to find a peaceful settlement to the problem of southern Sudan and urge the international community to support the efforts of the Government of the Sudan in this regard.|no|UN General Debates Corpus
That action, fortunately, was forthcoming from the Secretary-General of the United Nations, Mr. Kofi Annan, who took the initiative of organizing a high- level meeting on Côte d’Ivoire on 6 July 2004 in Addis Ababa at the time of the third summit of the African Union.|no|UN General Debates Corpus
The major decision of that meeting was the convening, in Accra, of a summit devoted to the crisis in the Côte d’Ivoire.|no|UN General Debates Corpus
The summit, known as Accra III, was preceded, on the recommendation of the high-level meeting in Addis Ababa, by meetings of the major joint Ivorian/Burkina Faso and Ivorian/Malian commissions in July 2004, and by a mini-summit which brought together the heads of State of Côte d’Ivoire, Burkina Faso and Mali on 27 July 2004 in Bamako.|no|UN General Debates Corpus
24  In the context of the holding, in Côte d’Ivoire, of open, free and transparent elections in 2005, important decisions accompanied by a road map were made at the Accra III summit.|no|UN General Debates Corpus
The National Assembly was due to be convened in special session before the end of August 2004 in order to consider and adopt all the legislative texts provided for in the Linas-Marcoussis Agreement.|no|UN General Debates Corpus
Athletic events have been taking place recently between the national armed forces and those of the Forces nouvelles in an atmosphere of fraternity and good cheer.|no|UN General Debates Corpus
Regarding the redeployment of the administration in those areas which have been subjected to war, this operation is gradually continuing, to the satisfaction of local populations, particularly in the west of the country.|no|UN General Debates Corpus
After the First and Second World Wars, nations realized that it was necessary to establish a global system to govern international relations, within the framework of law and legality.|no|UN General Debates Corpus
Ironically, it is some of those same forces that, since last year, have been raining bombs and hellfire on innocent Iraqis purportedly in the name of democracy.|no|UN General Debates Corpus
Mr. Tony Blair, the British Prime Minister, has arrogantly and unashamedly announced in his Parliament that his Government was working with Zimbabwe's opposition party to bring about regime change.|no|UN General Debates Corpus
We have seen established international conventions thrown to the dogs, and resolutions of the General Assembly and other United Nations bodies on this issue have come to naught.|no|UN General Debates Corpus
We demand an immediate lifting of all restrictions illegally imposed on the Palestinian people, which have seen President Yasser Arafat remain a virtual prisoner of foreign occupation.|no|UN General Debates Corpus
In a spirit of Pacific cooperation and partnership between Solomon Islands and Pacific Islands Forum member countries, a long-term approach of strengthening the country’s State institutions was set in place, thus allowing the process of healing, reconstruction, rehabilitation and nation-building to continue the course of unifying the country and its less than half a million, but diverse, inhabitants, who speak some 80 different local languages.|no|UN General Debates Corpus
Unfortunately, the level of international cooperation envisaged for the Programmes either have not materialized or have been minimal.|no|UN General Debates Corpus
Solomon Islands attaches much importance to the Millennium Development Goals, and these have been mainstreamed into our NERRDP.|no|UN General Debates Corpus
This was also vigorously reaffirmed by the Quartet the day before yesterday.|no|UN General Debates Corpus
United Nations instruments in fighting terrorism were recently enhanced by the adoption of Security Council resolution 1535 (2004) and the implementation measures which flow from it.|no|UN General Debates Corpus
In 2003, our official development assistance (ODA) in Luxembourg reached 0.81 per cent of our gross national product and the goal of having this figure reach one per cent in the years to come is part of the programme of the new Government that was formed in July of this year.|no|UN General Debates Corpus
As Minister for Foreign Affairs and Immigration, I must mention an innovation in our national political context, as did our Secretary-General, Mr. Kofi Annan, on 29 January 2004, in an inciteful speech to the European Parliament in Brussels regarding the growing importance of the problem of migration, particularly for Europe.|no|UN General Debates Corpus
Significant progress was already made in the revitalization of the General Assembly during the fifty- eighth session, under the leadership of the former President, Mr. Julian Hunte.|no|UN General Debates Corpus
Svetlana Dzebisov was held hostage along with her son and her nephew.|no|UN General Debates Corpus
Her nephew did not survive.|no|UN General Debates Corpus
The people of Madrid and Jerusalem and Istanbul and Baghdad have done nothing to deserve sudden and random murder.|no|UN General Debates Corpus
As we have seen in other countries, one of the main terrorist goals is to undermine, disrupt and influence election outcomes.|no|UN General Debates Corpus
Let history show that in a decisive decade, members of the United Nations did not grow weary in our duties, or waver in meeting them.|no|UN General Debates Corpus
It is, indeed, regrettable that after so much bloodshed it has become difficult for Ethiopia and Eritrea to formally complete the peace process because of complications that have been created in connection with the implementation of some aspects of the decision of the Eritrea/Ethiopia Boundary Commission (EEBC).|no|UN General Debates Corpus
20  Dialogue and negotiation, including using the good offices of the Secretary-General which have been made available to the two parties, are the most realistic and feasible means for making progress in the peace process.|no|UN General Debates Corpus
For those reasons, Ethiopia was looking forward to the final consummation of the peace process between the Government of the Sudan and the Sudanese People’s Liberation Movement/Sudanese People’s Liberation Army (SPLM/SPLA), which has now slowed down because of the tragedy in Darfur — an unanticipated tragedy.|no|UN General Debates Corpus
Ethiopia’s contribution to peace and peace- building is not limited to what we have been doing in our own subregion.|no|UN General Debates Corpus
We took it that the Secretary-General was, in his own elegant way, drawing our attention to the central question of our day: the uses and abuses of power.|no|UN General Debates Corpus
Together, the powerful and the disempowered share the common human needs to eat, to drink water, to be protected from the elements, to dream, to love, to laugh, to play, and to live.|no|UN General Debates Corpus
Both the powerful and the disempowered agree that the international community must act together successfully to confront these situations and therefore the threat and challenge of terrorism and war.|no|UN General Debates Corpus
Among other things, they have correctly reminded us of the fact that some countries are poorer today than they were a decade ago.|no|UN General Debates Corpus
Both the powerful and the disempowered agree that the international community must act together successfully to confront this situation, and therefore the threat and challenge of poverty and underdevelopment.|no|UN General Debates Corpus
The acute political and military situation prevailing in and around the Korean peninsula proves clearly once again how right it was of the Democratic People’s Republic of Korea to have built up its strong self-defensive military power to prevent war and ensure peace, upholding the Songun policy of the respected General Kim Jong Il.|no|UN General Debates Corpus
Various actions aimed at national co-prosperity were begun in accordance with the lofty spirit of the Joint Declaration.|no|UN General Debates Corpus
Peace is very precious to our people, who have been living for more than half a century with the heartbreaking pain of national division, forcibly brought about by outside forces, and under constant threat from the world’s only super-Power.|no|UN General Debates Corpus
In this regard, at the third round of the six-party talks last June, the countries concerned shared the view that it was important that both sides adhere to the word-for-word and action-for-action principle and the “corresponding measures for freeze” approach, and reached an agreement.|no|UN General Debates Corpus
Consequently, the basis of negotiations, which were hardly moving towards a resolution of the nuclear issue, has been completely destroyed.|no|UN General Debates Corpus
In April this year, the whole world joined Rwanda in our observance of the tenth anniversary of 44  the 1994 genocide, in which more than a million of our citizens - men, women and children - were massacred by the former Government, which institutionalized hatred, discrimination and sectarianism.|no|UN General Debates Corpus
We have thus adopted a new constitution, which, for the first time in the history of our country, was conceived by the people of Rwanda themselves and drafted according to the ideas, concerns, aspirations and priorities of the people and not according to those of so-called legal experts from other continents.|no|UN General Debates Corpus
In this context, my Government did not hesitate to respond to the appeal of the African Union regarding Darfur and sent a military mission to contribute to the efforts of the international community and the Sudanese Government to restore peace to this sorely tested region of our dear continent.|no|UN General Debates Corpus
My Government has taken note of the improvements which have been made towards greater efficiency in the International Criminal Tribunal for Rwanda, and encourages the Office of the Prosecutor and the Registry to pursue their efforts to end the waste and corruption which have characterized the Tribunal.|no|UN General Debates Corpus
Over the past year, members of AOSIS have been engaged in a detailed process of preparation for the international meeting.|no|UN General Debates Corpus
We were pleased that the twelfth session of the Commission on Sustainable Development focused on water, sanitation and human settlements.|no|UN General Debates Corpus
We in the Pacific region are working hard to improve access to fresh water and to develop environmentally responsible waste-management systems.|no|UN General Debates Corpus
The Bravo blast was 1,000 times more powerful than Hiroshima, and its fallout spread radioactive debris across the neighbouring islands.|no|UN General Debates Corpus
Some of these were palace coups and others involved a true popular revolution characterized by both the crystallization of social aspirations they unleashed and the political changes they brought about, such as the Carnation Revolution of Portugal in 1974.|no|UN General Debates Corpus
The changes of 15 March 2003 were of that type.|no|UN General Debates Corpus
They were popular movements carried forward by social forces that were as different from each other as were the involved political parties, labour unions, religious bodies, non-governmental organizations and the army.|no|UN General Debates Corpus
For more than a year, the Central African people have been trying to rebuild their broken unity, while the Government pursues the restoration of security throughout its territory.|no|UN General Debates Corpus
An organ that was specifically created to oversee the application of these recommendations, the national dialogue follow-up committee, is now pursuing its mission.|no|UN General Debates Corpus
An independent joint electoral commission, made up of representatives of political parties, civil society and the administration, was also set up, which has just published the timetable for a future referendum and elections as follows: 30 November 2004, constitutional referendum; 30 January 2005, legislative and presidential elections, first round; 27 February 2005, second round; 14 March 2005, announcement of results.|no|UN General Debates Corpus
However, the aims of the United Nations as set out in the Preamble to the Charter remain as relevant and vital today as they did then: “to save successive generations from the scourge of war … to reaffirm faith in fundamental human rights ... to establish conditions under which justice and respect for the obligations arising from treaties and other sources of international law can be maintained … and to promote social progress and better standards of life in larger freedom”.|no|UN General Debates Corpus
The Secretary-General himself recognized this last year when he said that we have come to a fork in the road, a moment no less decisive than in 1945 when the United Nations was founded.|no|UN General Debates Corpus
On terrorism, we have fully supported the work of the United Nations, ensuring Jema’ah Islamiyah was listed as a terrorist organization under the Security Council resolution 1267 (1999) sanctions regime and promoting compliance with the United Nations terrorist asset freezing regime.|no|UN General Debates Corpus
When our Foreign Minister, Alexander Downer, addressed this forum last year, he noted Australia was developing regional approaches to confront the dangers of State failure and that with our Pacific Islands Forum partners we were restoring hope to the people of Solomon Islands.|no|UN General Debates Corpus
Of course, this warning was before 11 September 2001, before coalition action in Afghanistan and Iraq and before the terrorist bombings in Bali, Jakarta, Madrid, Istanbul and many other locations.|no|UN General Debates Corpus
If the need for reform was pressing then, it is critical now.|no|UN General Debates Corpus
Indeed, it was on 17 September 1974 that the young Republic of Guinea-Bissau was admitted to the United Nations as a full-fledged Member State.|no|UN General Debates Corpus
It was with great attention and interest that we listened to the outstanding statement made here two days ago by Secretary-General Kofi Annan (see ).|no|UN General Debates Corpus
His observations were thought-provoking.|no|UN General Debates Corpus
Guinea-Bissau, unfortunately, has not escaped from the cycle of violence and political crisis that seems today to have become a prerogative of the African countries.|no|UN General Debates Corpus
Thus last March we were able to organize legislative elections that the international community considered just and credible and to establish a new parliament, the role of which is fundamental in any democracy.|no|UN General Debates Corpus
Many praiseworthy initiatives to eradicate hunger, poverty, malnutrition and illiteracy have been undertaken.|no|UN General Debates Corpus
The convening of an African Union summit in Ouagadougou on 8 and 9 September on employment and poverty alleviation in Africa was an example of that growing awareness and new vision.|no|UN General Debates Corpus
As a result of our long-standing participation in maintaining peace and security and in promoting development, Peru has announced its candidacy for a non-permanent seat on the Security Council during the period 2006-2007.|no|UN General Debates Corpus
We are grateful for the considerable support that we have received and for the favourable consideration given to our candidacy.|no|UN General Debates Corpus
Peru, before the process of recovering its democracy, was captive to corruption, systematic human rights violations and the subjugation of justice to political power.|no|UN General Debates Corpus
The attack 33  against Iraq was illegal.|no|UN General Debates Corpus
Four years ago, Security Council resolution 1325 (2000) on women, peace and security was adopted.|no|UN General Debates Corpus
It was a groundbreaking achievement.|no|UN General Debates Corpus
We have seen that confidence in the return of more than 3.5 million refugees who are now rebuilding their lives.|no|UN General Debates Corpus
We have seen that confidence in the enthusiasm of families who are sending their boys and girls to school, rebuilding their homes and setting up their businesses.|no|UN General Debates Corpus
And we have seen that confidence in the enthusiasm of 10.5 million Afghans who have registered to vote in the upcoming elections.|no|UN General Debates Corpus
Nearly all of the heavy weapons have been collected from the city of Kabul, and thousands of former combatants have been disarmed in various parts of the country.|no|UN General Debates Corpus
During the elections for the Constitutional Loya Jirga, terrorists did everything to disrupt the process, including bombing an elementary school and killing more than 20 children.|no|UN General Debates Corpus
Such consolidation applies also to security deficits and particularly terrorism, whose underlying causes we have been unable to eliminate despite our concerted efforts.|no|UN General Debates Corpus
The Secretary-General’s most recent effort to solve the Cyprus problem resulted in a plan that was described by some as a historic opportunity to solve one of the most long-standing international problems.|no|UN General Debates Corpus
First, the Annan Plan was not the product of negotiation, nor did it constitute an agreed solution between the parties.|no|UN General Debates Corpus
Secondly, the Plan did not place the necessary emphasis on achieving a one-State solution with a central Government able to guarantee the single, sovereign character of Cyprus.|no|UN General Debates Corpus
In rejecting the Plan as a settlement for the Cyprus problem, the Greek Cypriots did not reject the solution or the reunification of their country; they rejected this particular Plan as not effectively achieving that objective.|no|UN General Debates Corpus
The international community is now facing challenges and threats that were unknown when the Charter of the United Nations was drafted.|no|UN General Debates Corpus
In line with General Assembly resolutions, the Slovak Government sponsored a United Nations seminar held in the Slovak Republic last May, which was attended by a wide range of delegates from more than 70 Member States.|no|UN General Debates Corpus
Slovakiaís proactive approach in that regard was demonstrated by the political stance it adopted towards the resolution of those conflicts, as well as its participation in peacekeeping missions: the Stabilization Force for Bosnia and Herzegovina and the Kosovo Force for the Province of Kosovo.|no|UN General Debates Corpus
The Interim Council, which was recently established by the National Conference, represents a significant step forward in preparing for the elections to be held in January 2005.|no|UN General Debates Corpus
Many innocent lives continue to be wasted, with people killed or maimed and multitudes displaced by heinous acts designed to undermine and destabilize the collective efforts of the international community to achieve peace and security for our societies.|no|UN General Debates Corpus
The imperatives for action by the Organization and the international community to address those events and their causes have been eloquently articulated by leaders who have spoken earlier from this rostrum.|no|UN General Debates Corpus
In strengthening further the institutions of good governance in Pacific nations, the important role of non-State actors and civil society was highlighted by the Pacific leaders.|no|UN General Debates Corpus
When we met last year at the Assembly’s fifty- eighth session, we were deeply distressed that there was so much gloom in the international situation as a result of a breakdown in the multilateral negotiating processes.|no|UN General Debates Corpus
We were bitterly divided over the invasion of Iraq; there was great disappointment about the deadlock in the World Trade Organization ministerial meeting in Cancún, and we had to mourn the death of international civil servants who were killed during an act of terrorism against the United Nations headquarters in Baghdad.|no|UN General Debates Corpus
Today, 73,600 fighters have been disarmed.|no|UN General Debates Corpus
Over 22,000 pieces of serviceable weapons of all kinds have been surrendered and decommissioned, and more than 17  5 million rounds of ammunition collected and destroyed by UNMIL.|no|UN General Debates Corpus
It must not be forgotten that the sanctions were imposed primarily because Liberia was exporting conflict by trafficking in arms for diamonds.|no|UN General Debates Corpus
A related reason was the lack of transparency and accountability in the management of State resources, especially from the forestry sector and the maritime programme.|no|UN General Debates Corpus
The aim of the conference was to seek support for our two-year reconstruction plan.|no|UN General Debates Corpus
I am happy to report that, to date, $455 million of those pledges have been classified as firm commitments.|no|UN General Debates Corpus
Elections in Liberia are not new, but most have been characterized by widespread rigging.|no|UN General Debates Corpus
Thus, unfair elections in themselves have been a major source of conflict in Liberia.|no|UN General Debates Corpus
We cannot fail now, for we have seen the cost of war as compared to the price of peace.|no|UN General Debates Corpus
We want the Organization to remain extremely active in its initiatives to restore peace, particularly in the Middle East and in Africa, to all areas where conflicts today have become chronic and are steadily worsening.|no|UN General Debates Corpus
We were all eager to expand the positive achievements of the twentieth century, which witnessed rapid technological and social progress, the beginning of the space age, the advancement of democracy and the globalization of the planet.|no|UN General Debates Corpus
The 2005-2015 International Decade for Action, “Water for Life”, to be launched on 22 March 2005, was initiated by our country and is expected to combine efforts undertaken by Governments, the United Nations, international organizations, civil society and the private sector.|no|UN General Debates Corpus
As a result, millions of dollars have been removed from 11  circulation and hundreds of thousands of people the world over have been saved from narcotics dependency.|no|UN General Debates Corpus
The Bolivian response to that crisis was issued peacefully, in respect for democracy, through a mechanism of constitutional succession that allowed me, as Vice-President, to take office as President and to assume the enormous challenges to the country in order to restore order, peace and the prospects and hopes of our society.|no|UN General Debates Corpus
Positive results allowed for macroeconomic stability, but genuinely inadequate results in the social sphere were the outcome primarily of exhaustion and the need for different responses.|no|UN General Debates Corpus
All of those historical arrears fell due in October, leading to a popular upheaval that ended in social turmoil, calling not only for a short- term response — ours, I believe, was effective in that democracy and peace were preserved — but also and above all for a forward-looking solution.|no|UN General Debates Corpus
One of the country’s key issues was the definition of an energy policy once we learned that our nation has one of the largest reserves of natural gas in South America.|no|UN General Debates Corpus
We chose a path that was difficult, yet attractive, and that marked our desire for democratic participation and participative democracy — please forgive the wordplay — within our society.|no|UN General Debates Corpus
We opted for a binding referendum in which the people of Bolivia were able to decide what they wished to do with their most important energy resources.|no|UN General Debates Corpus
It was successfully held on 18 July.|no|UN General Debates Corpus
In that context, I wish here at the United Nations to thank the international community, which was consistent and unified in its support for Bolivia during the crisis and in the following months, helping us to implement a consistent macroeconomic policy to resolve such serious issues as its heavy fiscal deficit.|no|UN General Debates Corpus
Bolivia was born as an independent country with a coastline on the Pacific Ocean.|no|UN General Debates Corpus
They are hungry, they are homeless, they are sick, and many have been driven out of their own country.|no|UN General Debates Corpus
Tens of thousands have been murdered, raped and assaulted.|no|UN General Debates Corpus
The fact is that, as we all know, determined proliferators have been able to circumvent their treaty obligations.|no|UN General Debates Corpus
Despite the transitional period and the collapse of our economy, my country — a large area of the former Soviet Union — was the first to solve the problem of malnutrition.|no|UN General Debates Corpus
Last year’s two-day High-Level Dialogue on Financing for Development was not enough to put in place ongoing monitoring of the implementation of the decisions of the International Conference on Financing for Development.|no|UN General Debates Corpus
There have been many pessimistic analyses of its work and its potential.|no|UN General Debates Corpus
The people of Venezuela were faced with such a decision last month, with a referendum on the presidency.|no|UN General Debates Corpus
In my country, by the late eighties, a set of structural adjustments, developed under the influence of the main centres of neo-liberal capitalism, was met with a popular uprising that paralysed the country, leaving an indelible mark on our people’s minds.|no|UN General Debates Corpus
That resistance, popularly known as “El Caracazo”, was perhaps the first protest against neo-liberalism.|no|UN General Debates Corpus
That was a painfully tragic moment for the people of Venezuela.|no|UN General Debates Corpus
Wherever the architects of neo- liberalism gathered, they were met with massive protests in the streets.|no|UN General Debates Corpus
Besides being the initial site of neo-liberalism’s devastating experiment, Latin America was also the first to experience anti-neo-liberal explosion.|no|UN General Debates Corpus
In that regard, we support the candidacy of Brazil as a permanent member of an expanded Council.|no|UN General Debates Corpus
The United Nations was born in a world that was traumatized by the atrocities of Second World War, yet had the hope of creating a world of greater dignity for human beings.|no|UN General Debates Corpus
Under his visionary leadership, significant progress was made in advancing the revitalization of the General Assembly and in ensuring the return of development to the forefront of the issues addressed by the Assembly.|no|UN General Debates Corpus
A dispute between the United States of America and the European Union resulted in a ruling by the World Trade Organization that destroyed the banana industry, which was the backbone of the economy of Dominica.|no|UN General Debates Corpus
Notwithstanding our participation in multilateral institutions, the two shocks to which I referred were exogenous — originating outside our country and having nothing to do with the internal economic management of Dominica.|no|UN General Debates Corpus
We are satisfied that the more rational approach that we are suggesting can solve many problems that have been in existence for generations.|no|UN General Debates Corpus
Unspeakable devastation has taken place in Grenada; Jamaica has suffered substantial loss of life and damage to property; parts of the Cayman Islands were submerged, and the death toll in Haiti and Santo Domingo has been horrendous.|no|UN General Debates Corpus
Last year was extremely challenging, for both the world community and the United Nations.|no|UN General Debates Corpus
In that context, we look forward to reading the report being drafted by the High-Level Panel on Threats, Challenges and Change, which was created by the Secretary-General.|no|UN General Debates Corpus
The Republic of Macedonia has presented its candidacy for the election to the Economic and Social Council to be held during this session.|no|UN General Debates Corpus
We were all horrified by the images of human suffering in Madrid, Beslan and elsewhere.|no|UN General Debates Corpus
However, despite the considerable progress made at the level of stabilization and improved security in the region, not all sources of potential instability have been eliminated.|no|UN General Debates Corpus
As a consequence, the credibility and even the legitimacy of the United Nations have been called into question.|no|UN General Debates Corpus
Jamaica, the Bahamas, the Cayman Islands, Haiti, Cuba and other Caribbean countries, including my own, have been severely affected.|no|UN General Debates Corpus
History has further moulded us as one people who were drawn originally from diverse lands and cultures.|no|UN General Debates Corpus
It is tragic that it takes a catastrophe of this nature to hammer home the point that the small island developing States have been making for some time, namely, that there is a need for special and differential treatment because of, among other things, our vulnerability to natural disasters.|no|UN General Debates Corpus
I repeat, without exaggeration, that Hurricane Ivan, in a few short hours, reduced Grenada to rubble and, at a stroke, undid the hard work and achievements of its people since independence in 1974.|no|UN General Debates Corpus
It is worth remembering that CARICOM States were instrumental in preparing a plan of Action for Haiti to ensure that the Constitution of that country was respected and to create the basis for a mobilization of resources to avert a humanitarian disaster.|no|UN General Debates Corpus
On 25 February 2004, CARICOM was successful in having the matter raised at a meeting of the Security Council.|no|UN General Debates Corpus
The draft resolution presented by CARICOM to the Security Council was noted but politely ignored.|no|UN General Debates Corpus
A regime that tries an indicted murderer at midnight, one who was hailed by the very regime as a liberator, and then frees him before the first cock crows, has failed the most elemental tests of justice, freedom and democracy.|no|UN General Debates Corpus
Our international obligations and circumstances necessarily pull us into that war, which we did not occasion or initiate.|no|UN General Debates Corpus
The relations between Saint Vincent and the Grenadines and Taiwan have been exemplary.|no|UN General Debates Corpus
More than 1,000 people, both Afghans and internationals, have been killed there so far this year.|no|UN General Debates Corpus
The concern of the international community was expressed in Security Council resolution 1564 (2004), adopted on Saturday.|no|UN General Debates Corpus
I can assure members that Kofi Annan did not seem too upset to be relinquishing that unpaid and difficult job.|no|UN General Debates Corpus
We cannot fail to pay tribute to our beloved friend, Sergio Vieira de Mello, who was brutally murdered in Iraq just over a year ago.|no|UN General Debates Corpus
It was only a little over two years ago that Secretary-General Kofi Annan handed over power to our elected President.|no|UN General Debates Corpus
Chemical and biological weapons were unleashed on both civilians and combatants.|no|UN General Debates Corpus
Those who are absolutely against the use of force have been unable to articulate a better strategy for dealing with the savagery of ethnic cleansing and genocide.|no|UN General Debates Corpus
In the tragic case of Cambodia in the 1970s, the world knew that an evil regime was deliberately purging the nation and murdering hundreds of thousands of innocent human beings.|no|UN General Debates Corpus
Around the same time as the Cambodian tragedy, genocide was taking place on the African continent, in Uganda.|no|UN General Debates Corpus
Relations between India and Pakistan have been a matter of attention for the international community.|no|UN General Debates Corpus
The promise of lasting peace presaged by the end of the cold war was destroyed by terrorist actions — actions which were condemned by all humankind and which have unleashed a steady escalation of violence that has turned the world into a place of uncertainty.|no|UN General Debates Corpus
We want to underscore the importance of a meeting that was held at the United Nations last week — the gathering of world leaders in an alliance against hunger and poverty, which resulted in a serious commitment on the part of each and every one of our representatives here to fight unwaveringly and effectively to achieve the agreed objectives.|no|UN General Debates Corpus
The dangerous balances of the cold war have been replaced by the complex and equally dangerous realities of our world today.|no|UN General Debates Corpus
Too many fronts have been opened and too many battle lines have been drawn.|no|UN General Debates Corpus
After several aborted attempts, Pakistan and India have been able to initiate confidence-building measures and a composite dialogue this year to address all outstanding issues.|no|UN General Debates Corpus
The people have been empowered through a revolutionary local government system.|no|UN General Debates Corpus
Our women have been empowered.|no|UN General Debates Corpus
Everyone can see that it did not lead to a safer world either inside or outside Iraq.|no|UN General Debates Corpus
The first results of the high-level commission set up for this purpose by Secretary-General Kofi Annan were published last June.|no|UN General Debates Corpus
That campaign has as its only objective the justification of an absurd intervention by force in Equatorial Guinea — the failed multinational mercenary invasion that was to have taken place on 6 March last.|no|UN General Debates Corpus
The international community is aware of the events connected to that aborted plan thanks to press reports on the trials, held simultaneously in Equatorial Guinea and in Zimbabwe, of those mercenaries who were arrested in Malabo and in Harare, respectively.|no|UN General Debates Corpus
Indeed, and under the pretext of supporting the political claims of a supposed opposition leader in exile in Spain, a number of mercenaries, of various nationalities but with a common leadership, acquired a cargo plane with the goal of transporting to Malabo, in the Republic of Equatorial Guinea, 65 trained, armed men who were to take part in an invasion — a suicide operation.|no|UN General Debates Corpus
That group was to join up with those coming from Harare.|no|UN General Debates Corpus
The support that they received from Spain was to involve the use of two Spanish Navy warships with 500 sailors on board, for support in case of resistance.|no|UN General Debates Corpus
The goal was to put in power, at Government headquarters, Mr. Severo Moto Nsa, who had formed a government in exile that was recognized by the previous Government of Spain.|no|UN General Debates Corpus
Fortunately, the solidarity of the Governments of Angola, Zimbabwe and South Africa came into play and they alerted the security services of my country, which acted immediately, arresting, on the night of 6 March, the 18 men stationed in Malabo, while the Harare Government did the same with those found in that capital’s airport on 7 March 2004.|no|UN General Debates Corpus
They also gave details on the financing of the purchase of arms and of the cargo plane, and on the offer of the Spanish ships, which were already, at that time, anchored in the territorial waters of Equatorial Guinea.|no|UN General Debates Corpus
We know that the mercenaries have acted in other parts of the world, and we bring this to the General Assembly because of the destructive effects that have been seen in other affected countries.|no|UN General Debates Corpus
We speak of important issues, such as democracy, globalization, terrorism, poverty eradication, human development and the spread of infectious disease, as if they were completely disconnected.|no|UN General Debates Corpus
Although commitments have been made, the lethargic performance of many countries, including Vanuatu, demonstrate the need for more international support in assisting countries to meet those targets.|no|UN General Debates Corpus
The Government’s prioritized action agenda, which was launched last year in consultation with our development partners, is the catalyst for Vanuatu’s medium- to long-term strategic planning.|no|UN General Debates Corpus
As world leaders, we have time and again expressed serious concerns and dissatisfaction about the fact that certain decisions and actions by the United Nations or its bodies were not consistent with the purposes and intentions of the Charter.|no|UN General Debates Corpus
The continuing disputes and concerns raised with regard to the legality of United Nations-endorsed instruments that have been concluded throughout the years — such as the New York Agreement of 1962, to govern the United Nations administration of the so- called Act of Free Choice in West Papua — is a clear example challenging the integrity and validity of United Nations resolutions at that time.|no|UN General Debates Corpus
In our opinion, the United Nations-conducted exercises were a total farce conditioned only to suit the geopolitical climate of that period.|no|UN General Debates Corpus
On a final matter, my delegation strongly reaffirms its support for resolution 2758 (XXVI), which was adopted during the twenty-sixth session, in 1971, and which recognized the legal and political representation of the People’s Republic of China as a Member of the United Nations.|no|UN General Debates Corpus
My Government was not properly consulted in that regard, and requests that the decision to relocate the Centre from Vanuatu be reconsidered.|no|UN General Debates Corpus
In the Bahamas, Barbados, Cuba, the Cayman Islands, the Dominican Republic, Grenada, Haiti and my own country, Jamaica, the loss of life and the scale of destruction and damage to infrastructure, property and means of livelihood have been catastrophic.|no|UN General Debates Corpus
The case of Grenada, which was virtually obliterated, is particularly striking.|no|UN General Debates Corpus
