statement,future,source
"“The General Assembly’s adoption of the Tunisian proposal to proclaim 2005 the International Year of Sport and Physical Education was a recognition of the importance of those two activities in strengthening the bonds of friendship, cooperation and rapprochement among peoples and in further disseminating peace and development throughout the world.",No,UN General Debates Corpus
"We call on Sudan’s Government to fulfil all the provisions contained in Security Council resolution 1556 (2004), which was adopted on 30 July.",No,UN General Debates Corpus
"It is completely unacceptable that 50 million people worldwide have become refugees or have been internally displaced as a result of having been driven from their homes by war, persecution and human rights abuses.",No,UN General Debates Corpus
"The International Court of Justice, the principal judicial organ of the United Nations, on 9 July 2004 rendered its advisory opinion that such construction was contrary to international law.",No,UN General Debates Corpus
"Needless to say, we are today, as we were then, committed to the achievement of those goals.",No,UN General Debates Corpus
"As early as the year 2000, Lesotho had declared HIV/AIDS a national disaster, and various measures were being taken at the national level to control and manage the pandemic.",No,UN General Debates Corpus
Last year’s bombing in Baghdad was a tragic demonstration of the fact that the work of the United Nations is often dangerous.,No,UN General Debates Corpus
The tone was set for this session by the statement made by Secretary-General Kofi Annan.,No,UN General Debates Corpus
"Genuine interest in organizing collective action to address new challenges and threats was a leitmotif of the statements made from this rostrum by United States President George Bush, the heads of several States, the Minister for Foreign Affairs of Russia, Sergei Lavrov, and other high- ranking representatives.",No,UN General Debates Corpus
"Those statements were evidence of the growing confidence in our Organization and, I believe, represent a long-awaited rebuff to those who wish us ill and to sow doubts regarding the United Nations ability to resolve today’s pressing problems.",No,UN General Debates Corpus
"Two years ago, under United Nations auspices, the Global Mountain Summit was convened in our capital, Bishkek.",No,UN General Debates Corpus
"The Bishkek Global Mountain Platform was drafted at the Summit, defining key objectives for the sustainable development of mountain countries.",No,UN General Debates Corpus
That important document was submitted to the General Assembly at its fifty-eighth session.,No,UN General Debates Corpus
"The nineteenth century was, for vast sectors of mankind, the century of freedom.",No,UN General Debates Corpus
"However, in many regions of the world, there were and continue to be, unacceptable levels of repression.",No,UN General Debates Corpus
"The twentieth century was, for a good number of nations, the century of economic development.",No,UN General Debates Corpus
"If we compare the per capita gross domestic products in constant dollars of the 20 poorest countries and the 20 richest, we note that, between 1960 and 1962, the former were almost 54 times poorer than the latter, while four decades later, in the period 2000-2002, they were 121 times poorer.",No,UN General Debates Corpus
The differences have been accentuated and the gap has broadened.,No,UN General Debates Corpus
"Notwithstanding the commitment of 120 nations, we have been unable to obtain the necessary support for the entry into force of the Kyoto Protocol.",No,UN General Debates Corpus
The Millennium Development Goals have become fundamental benchmarks in our efforts to achieve economic growth and sustainable development.,No,UN General Debates Corpus
It is time that the embargo was lifted.,No,UN General Debates Corpus
"Over the past year, the Lao people of all ethnic origins, all walks of life and all religions have been living in solidarity and harmony.",No,UN General Debates Corpus
"The poverty of the people has been gradually 3  reduced, and external relations of cooperation have been broadened extensively.",No,UN General Debates Corpus
"Additionally, we pay tribute to your predecessor, Mr. Julian Hunte, whose presidency of the General Assembly at its fifty-eighth session was virile, dynamic and constructive, imbued, as he was, with the wisdom of Solomon, the patience of Job and the vision of Daniel.",No,UN General Debates Corpus
"First, Grenada expresses grateful appreciation for the outpouring of sympathy and assistance from the many countries that have already taken the rostrum — especially from the Caribbean leaders who have seen and described to the Assembly, in chilling and heart- rending detail, the devastation of the tri-island State of Grenada, Carriacou and Petite Martinique caused by jurricane Ivan “the Terrible”.",No,UN General Debates Corpus
"After hurricane Ivan’s rage had subsided, there was complete destruction of the infrastructure, and it seemed as if a Stygian darkness had descended on the land.",No,UN General Debates Corpus
We acknowledge the importance of complying with United Nations resolutions and international security arrangements that have been adopted in the fight against terrorism.,No,UN General Debates Corpus
The Goals have been integrated and mainstreamed into our national development strategy.,No,UN General Debates Corpus
"The United Nations was created to bring about a peaceful, prosperous, and just world.",No,UN General Debates Corpus
"This year, Japan is a candidate for non-permanent membership on the Security Council.",No,UN General Debates Corpus
"Such global contributions to peace are rooted in the fundamental, cherished beliefs of the Japanese people, who have been seeking an honoured place in an international community that strives for peace and prosperity.",No,UN General Debates Corpus
"Lives were lost in Haiti, the Dominican Republic, Grenada, Jamaica, Cuba, the United States and the Bahamas.",No,UN General Debates Corpus
"Then came Jeanne, two weeks later, over the same islands that were hit by Frances, further exacerbating the problems.",No,UN General Debates Corpus
That pre-Columbian civilization must have seen the phenomenon so often that it invented the word for it.,No,UN General Debates Corpus
"It behooves us, therefore, to understand the phenomenon that we are facing, including its connection — if any — to climate change, which low- lying States have been warning about for years.",No,UN General Debates Corpus
We also reiterate our grave concern about the serious threat posed to the security and economic development of Caribbean countries by the trans-shipment of nuclear waste through the Caribbean Sea.,No,UN General Debates Corpus
"That meeting was a small, but important, first step in reaching agreement on an instrument on tracing, to enable States affected by that illicit trade to more effectively identify lines of supply, put measures in place to interdict existing lines and prevent new ones, and to cooperate with other States at the bilateral, regional and international levels.",No,UN General Debates Corpus
"Yesterday I was in our capital city, Nassau, in the Bahamas, where we marked 275 years of continuous representative, parliamentary democracy.",No,UN General Debates Corpus
"In Côte d’Ivoire, after numerous short-lived hopes have been dashed, the implementation of the Accra III Agreement remains today the sole hope for the restoration of peace and stability in that country.",No,UN General Debates Corpus
"We all recall that, at the dawn of the twenty-first century, the Millennium Summit was convened here in this very Hall.",No,UN General Debates Corpus
"Several years later, however, we note with regret that the Millennium Development Goals have been hard to achieve.",No,UN General Debates Corpus
"Indeed, the necessary resources to finance sustainable development and to combat poverty and hunger in the developing countries have not been mobilized and, contrary to expectations, only a small number of developing countries have been able to make progress in the elimination of poverty.",No,UN General Debates Corpus
"Ten European countries, sharing a common aspiration for integration, were admitted into the European Union.",No,UN General Debates Corpus
"Albania, as one of the 191 signatory countries of the Millennium Declaration, remains fully committed to implementation of the Millennium Development Goals, which have been properly reflected in a national strategy for social and economic development.",No,UN General Debates Corpus
"To that end, Albania has modestly presented for the first time its candidacy to become a member of the Economic and Social Council for the period 2005-2007.",No,UN General Debates Corpus
"For the first time in our history, our land borders have been defined, and they are now being conclusively demarcated.",No,UN General Debates Corpus
What is even more important is that this was achieved without spilling blood and without bellicose threats.,No,UN General Debates Corpus
"To consolidate this process with the support of the Organization of American States, we have already eliminated all the landmines that were placed around our country years ago, and we can now say with pride that we are a country that is entirely free of landmines.",No,UN General Debates Corpus
We were at the threshold of peace in the south when another war broke out in Darfur as the result of a rebel movement begun by some tribes and supported by foreign forces.,No,UN General Debates Corpus
"The rebel movementís terrorist action was not directed against the Government only, but against those tribes that refused to join them.",No,UN General Debates Corpus
"Previously, those conflicts were settled according to traditional customs and norms.",No,UN General Debates Corpus
"There were other causes for regional conflict: an influx of arms and the interference of neighbouring countries that tried to exploit the tense situation, encouraging rebellions against the Government by training and arming certain groups.",No,UN General Debates Corpus
"This conflict, which was imposed on the Government, has created extremely complicated and dire humanitarian conditions.",No,UN General Debates Corpus
"Furthermore, out of its belief in a peaceful settlement as a strategic choice, the Government entered into negotiations with the rebels under the auspices of the President of Chad, which culminated in the Abashi agreement in 2003, but that agreement was later violated by the rebels.",No,UN General Debates Corpus
"However, this did not weaken the Governmentís resolve to continue its efforts, until we attained the ceasefire agreement in NíDjamena.",No,UN General Debates Corpus
"In order to cooperate with the African Union, we sent a high-level delegation to the first round of negotiations at Addis Ababa; our delegation was given full authority to reach a peaceful settlement with the rebels.",No,UN General Debates Corpus
They insisted on conditions that were impossible to implement.,No,UN General Debates Corpus
"Security Council resolution 1564 (2004) did not consider my Governmentís efforts to contain the humanitarian crisis in Darfur, which led to dÈtente in the situation.",No,UN General Debates Corpus
Our efforts were not limited to 43  cooperating with the international community.,No,UN General Debates Corpus
"We do not want a committee like that headed by Richard Butler, who prepared his report at another location where it was signed and submitted to the Security Council indicating that it represented the position of the Organization.",No,UN General Debates Corpus
We must accelerate our current efforts that have been going on for a decade now for Security Council reform and to develop its methods of work.,No,UN General Debates Corpus
"The United Nations was established six decades ago as an expression of the aspirations of all the members of the international community to save the world from the scourge of war, to maintain international peace and security, and to achieve cooperation among nations and people in various fields.",No,UN General Debates Corpus
"Roughly two decades after its inception, on 15 June 1964, to be exact, the Group of 77 was established to express the aspirations of scores of developing countries in Asia, Africa and Latin America to work with each other under the umbrella of the United Nations, with a view to promoting their common economic interests, developing their negotiating capacity regarding various international economic issues and increasing the bonds of their technical cooperation.",No,UN General Debates Corpus
"In particular, I wish to single out the absence of democracy and the prolonged slackening of political reform evident in a number of countries of the South, and probably most apparent in the past few years in the Middle East, where they have been at the root of most of the harsh social and economic suffering currently plaguing that region.",No,UN General Debates Corpus
Political reform and people’s participation in decision-making are no longer an option but have become a definite necessity.,No,UN General Debates Corpus
"As the history of economic relations has shown, the States that have made the greatest economic achievements — whether in the North or in the South — have been those which were most committed to the exercise of democracy.",No,UN General Debates Corpus
We also welcome the accords that were signed to find a peaceful settlement to the problem of southern Sudan and urge the international community to support the efforts of the Government of the Sudan in this regard.,No,UN General Debates Corpus
"That action, fortunately, was forthcoming from the Secretary-General of the United Nations, Mr. Kofi Annan, who took the initiative of organizing a high- level meeting on Côte d’Ivoire on 6 July 2004 in Addis Ababa at the time of the third summit of the African Union.",No,UN General Debates Corpus
"The major decision of that meeting was the convening, in Accra, of a summit devoted to the crisis in the Côte d’Ivoire.",No,UN General Debates Corpus
"The summit, known as Accra III, was preceded, on the recommendation of the high-level meeting in Addis Ababa, by meetings of the major joint Ivorian/Burkina Faso and Ivorian/Malian commissions in July 2004, and by a mini-summit which brought together the heads of State of Côte d’Ivoire, Burkina Faso and Mali on 27 July 2004 in Bamako.",No,UN General Debates Corpus
"24  In the context of the holding, in Côte d’Ivoire, of open, free and transparent elections in 2005, important decisions accompanied by a road map were made at the Accra III summit.",No,UN General Debates Corpus
The National Assembly was due to be convened in special session before the end of August 2004 in order to consider and adopt all the legislative texts provided for in the Linas-Marcoussis Agreement.,No,UN General Debates Corpus
Athletic events have been taking place recently between the national armed forces and those of the Forces nouvelles in an atmosphere of fraternity and good cheer.,No,UN General Debates Corpus
"Regarding the redeployment of the administration in those areas which have been subjected to war, this operation is gradually continuing, to the satisfaction of local populations, particularly in the west of the country.",No,UN General Debates Corpus
"After the First and Second World Wars, nations realized that it was necessary to establish a global system to govern international relations, within the framework of law and legality.",No,UN General Debates Corpus
"Ironically, it is some of those same forces that, since last year, have been raining bombs and hellfire on innocent Iraqis purportedly in the name of democracy.",No,UN General Debates Corpus
"Mr. Tony Blair, the British Prime Minister, has arrogantly and unashamedly announced in his Parliament that his Government was working with Zimbabwe's opposition party to bring about regime change.",No,UN General Debates Corpus
"We have seen established international conventions thrown to the dogs, and resolutions of the General Assembly and other United Nations bodies on this issue have come to naught.",No,UN General Debates Corpus
"We demand an immediate lifting of all restrictions illegally imposed on the Palestinian people, which have seen President Yasser Arafat remain a virtual prisoner of foreign occupation.",No,UN General Debates Corpus
"In a spirit of Pacific cooperation and partnership between Solomon Islands and Pacific Islands Forum member countries, a long-term approach of strengthening the country’s State institutions was set in place, thus allowing the process of healing, reconstruction, rehabilitation and nation-building to continue the course of unifying the country and its less than half a million, but diverse, inhabitants, who speak some 80 different local languages.",No,UN General Debates Corpus
"Unfortunately, the level of international cooperation envisaged for the Programmes either have not materialized or have been minimal.",No,UN General Debates Corpus
"Solomon Islands attaches much importance to the Millennium Development Goals, and these have been mainstreamed into our NERRDP.",No,UN General Debates Corpus
This was also vigorously reaffirmed by the Quartet the day before yesterday.,No,UN General Debates Corpus
United Nations instruments in fighting terrorism were recently enhanced by the adoption of Security Council resolution 1535 (2004) and the implementation measures which flow from it.,No,UN General Debates Corpus
"In 2003, our official development assistance (ODA) in Luxembourg reached 0.81 per cent of our gross national product and the goal of having this figure reach one per cent in the years to come is part of the programme of the new Government that was formed in July of this year.",No,UN General Debates Corpus
"As Minister for Foreign Affairs and Immigration, I must mention an innovation in our national political context, as did our Secretary-General, Mr. Kofi Annan, on 29 January 2004, in an inciteful speech to the European Parliament in Brussels regarding the growing importance of the problem of migration, particularly for Europe.",No,UN General Debates Corpus
"Significant progress was already made in the revitalization of the General Assembly during the fifty- eighth session, under the leadership of the former President, Mr. Julian Hunte.",No,UN General Debates Corpus
Svetlana Dzebisov was held hostage along with her son and her nephew.,No,UN General Debates Corpus
Her nephew did not survive.,No,UN General Debates Corpus
The people of Madrid and Jerusalem and Istanbul and Baghdad have done nothing to deserve sudden and random murder.,No,UN General Debates Corpus
"As we have seen in other countries, one of the main terrorist goals is to undermine, disrupt and influence election outcomes.",No,UN General Debates Corpus
"Let history show that in a decisive decade, members of the United Nations did not grow weary in our duties, or waver in meeting them.",No,UN General Debates Corpus
"It is, indeed, regrettable that after so much bloodshed it has become difficult for Ethiopia and Eritrea to formally complete the peace process because of complications that have been created in connection with the implementation of some aspects of the decision of the Eritrea/Ethiopia Boundary Commission (EEBC).",No,UN General Debates Corpus
"20  Dialogue and negotiation, including using the good offices of the Secretary-General which have been made available to the two parties, are the most realistic and feasible means for making progress in the peace process.",No,UN General Debates Corpus
"For those reasons, Ethiopia was looking forward to the final consummation of the peace process between the Government of the Sudan and the Sudanese People’s Liberation Movement/Sudanese People’s Liberation Army (SPLM/SPLA), which has now slowed down because of the tragedy in Darfur — an unanticipated tragedy.",No,UN General Debates Corpus
Ethiopia’s contribution to peace and peace- building is not limited to what we have been doing in our own subregion.,No,UN General Debates Corpus
"We took it that the Secretary-General was, in his own elegant way, drawing our attention to the central question of our day: the uses and abuses of power.",No,UN General Debates Corpus
"Together, the powerful and the disempowered share the common human needs to eat, to drink water, to be protected from the elements, to dream, to love, to laugh, to play, and to live.",No,UN General Debates Corpus
Both the powerful and the disempowered agree that the international community must act together successfully to confront these situations and therefore the threat and challenge of terrorism and war.,No,UN General Debates Corpus
"Among other things, they have correctly reminded us of the fact that some countries are poorer today than they were a decade ago.",No,UN General Debates Corpus
"Both the powerful and the disempowered agree that the international community must act together successfully to confront this situation, and therefore the threat and challenge of poverty and underdevelopment.",No,UN General Debates Corpus
"The acute political and military situation prevailing in and around the Korean peninsula proves clearly once again how right it was of the Democratic People’s Republic of Korea to have built up its strong self-defensive military power to prevent war and ensure peace, upholding the Songun policy of the respected General Kim Jong Il.",No,UN General Debates Corpus
Various actions aimed at national co-prosperity were begun in accordance with the lofty spirit of the Joint Declaration.,No,UN General Debates Corpus
"Peace is very precious to our people, who have been living for more than half a century with the heartbreaking pain of national division, forcibly brought about by outside forces, and under constant threat from the world’s only super-Power.",No,UN General Debates Corpus
"In this regard, at the third round of the six-party talks last June, the countries concerned shared the view that it was important that both sides adhere to the word-for-word and action-for-action principle and the “corresponding measures for freeze” approach, and reached an agreement.",No,UN General Debates Corpus
"Consequently, the basis of negotiations, which were hardly moving towards a resolution of the nuclear issue, has been completely destroyed.",No,UN General Debates Corpus
"In April this year, the whole world joined Rwanda in our observance of the tenth anniversary of 44  the 1994 genocide, in which more than a million of our citizens - men, women and children - were massacred by the former Government, which institutionalized hatred, discrimination and sectarianism.",No,UN General Debates Corpus
"We have thus adopted a new constitution, which, for the first time in the history of our country, was conceived by the people of Rwanda themselves and drafted according to the ideas, concerns, aspirations and priorities of the people and not according to those of so-called legal experts from other continents.",No,UN General Debates Corpus
"In this context, my Government did not hesitate to respond to the appeal of the African Union regarding Darfur and sent a military mission to contribute to the efforts of the international community and the Sudanese Government to restore peace to this sorely tested region of our dear continent.",No,UN General Debates Corpus
"My Government has taken note of the improvements which have been made towards greater efficiency in the International Criminal Tribunal for Rwanda, and encourages the Office of the Prosecutor and the Registry to pursue their efforts to end the waste and corruption which have characterized the Tribunal.",No,UN General Debates Corpus
"Over the past year, members of AOSIS have been engaged in a detailed process of preparation for the international meeting.",No,UN General Debates Corpus
"We were pleased that the twelfth session of the Commission on Sustainable Development focused on water, sanitation and human settlements.",No,UN General Debates Corpus
We in the Pacific region are working hard to improve access to fresh water and to develop environmentally responsible waste-management systems.,No,UN General Debates Corpus
"The Bravo blast was 1,000 times more powerful than Hiroshima, and its fallout spread radioactive debris across the neighbouring islands.",No,UN General Debates Corpus
"Some of these were palace coups and others involved a true popular revolution characterized by both the crystallization of social aspirations they unleashed and the political changes they brought about, such as the Carnation Revolution of Portugal in 1974.",No,UN General Debates Corpus
The changes of 15 March 2003 were of that type.,No,UN General Debates Corpus
"They were popular movements carried forward by social forces that were as different from each other as were the involved political parties, labour unions, religious bodies, non-governmental organizations and the army.",No,UN General Debates Corpus
"For more than a year, the Central African people have been trying to rebuild their broken unity, while the Government pursues the restoration of security throughout its territory.",No,UN General Debates Corpus
"An organ that was specifically created to oversee the application of these recommendations, the national dialogue follow-up committee, is now pursuing its mission.",No,UN General Debates Corpus
"An independent joint electoral commission, made up of representatives of political parties, civil society and the administration, was also set up, which has just published the timetable for a future referendum and elections as follows: 30 November 2004, constitutional referendum; 30 January 2005, legislative and presidential elections, first round; 27 February 2005, second round; 14 March 2005, announcement of results.",No,UN General Debates Corpus
"However, the aims of the United Nations as set out in the Preamble to the Charter remain as relevant and vital today as they did then: “to save successive generations from the scourge of war … to reaffirm faith in fundamental human rights ... to establish conditions under which justice and respect for the obligations arising from treaties and other sources of international law can be maintained … and to promote social progress and better standards of life in larger freedom”.",No,UN General Debates Corpus
"The Secretary-General himself recognized this last year when he said that we have come to a fork in the road, a moment no less decisive than in 1945 when the United Nations was founded.",No,UN General Debates Corpus
"On terrorism, we have fully supported the work of the United Nations, ensuring Jema’ah Islamiyah was listed as a terrorist organization under the Security Council resolution 1267 (1999) sanctions regime and promoting compliance with the United Nations terrorist asset freezing regime.",No,UN General Debates Corpus
"When our Foreign Minister, Alexander Downer, addressed this forum last year, he noted Australia was developing regional approaches to confront the dangers of State failure and that with our Pacific Islands Forum partners we were restoring hope to the people of Solomon Islands.",No,UN General Debates Corpus
"Of course, this warning was before 11 September 2001, before coalition action in Afghanistan and Iraq and before the terrorist bombings in Bali, Jakarta, Madrid, Istanbul and many other locations.",No,UN General Debates Corpus
"If the need for reform was pressing then, it is critical now.",No,UN General Debates Corpus
"Indeed, it was on 17 September 1974 that the young Republic of Guinea-Bissau was admitted to the United Nations as a full-fledged Member State.",No,UN General Debates Corpus
It was with great attention and interest that we listened to the outstanding statement made here two days ago by Secretary-General Kofi Annan (see ).,No,UN General Debates Corpus
His observations were thought-provoking.,No,UN General Debates Corpus
"Guinea-Bissau, unfortunately, has not escaped from the cycle of violence and political crisis that seems today to have become a prerogative of the African countries.",No,UN General Debates Corpus
"Thus last March we were able to organize legislative elections that the international community considered just and credible and to establish a new parliament, the role of which is fundamental in any democracy.",No,UN General Debates Corpus
"Many praiseworthy initiatives to eradicate hunger, poverty, malnutrition and illiteracy have been undertaken.",No,UN General Debates Corpus
The convening of an African Union summit in Ouagadougou on 8 and 9 September on employment and poverty alleviation in Africa was an example of that growing awareness and new vision.,No,UN General Debates Corpus
"As a result of our long-standing participation in maintaining peace and security and in promoting development, Peru has announced its candidacy for a non-permanent seat on the Security Council during the period 2006-2007.",No,UN General Debates Corpus
We are grateful for the considerable support that we have received and for the favourable consideration given to our candidacy.,No,UN General Debates Corpus
"Peru, before the process of recovering its democracy, was captive to corruption, systematic human rights violations and the subjugation of justice to political power.",No,UN General Debates Corpus
The attack 33  against Iraq was illegal.,No,UN General Debates Corpus
"Four years ago, Security Council resolution 1325 (2000) on women, peace and security was adopted.",No,UN General Debates Corpus
It was a groundbreaking achievement.,No,UN General Debates Corpus
We have seen that confidence in the return of more than 3.5 million refugees who are now rebuilding their lives.,No,UN General Debates Corpus
"We have seen that confidence in the enthusiasm of families who are sending their boys and girls to school, rebuilding their homes and setting up their businesses.",No,UN General Debates Corpus
And we have seen that confidence in the enthusiasm of 10.5 million Afghans who have registered to vote in the upcoming elections.,No,UN General Debates Corpus
"Nearly all of the heavy weapons have been collected from the city of Kabul, and thousands of former combatants have been disarmed in various parts of the country.",No,UN General Debates Corpus
"During the elections for the Constitutional Loya Jirga, terrorists did everything to disrupt the process, including bombing an elementary school and killing more than 20 children.",No,UN General Debates Corpus
"Such consolidation applies also to security deficits and particularly terrorism, whose underlying causes we have been unable to eliminate despite our concerted efforts.",No,UN General Debates Corpus
The Secretary-General’s most recent effort to solve the Cyprus problem resulted in a plan that was described by some as a historic opportunity to solve one of the most long-standing international problems.,No,UN General Debates Corpus
"First, the Annan Plan was not the product of negotiation, nor did it constitute an agreed solution between the parties.",No,UN General Debates Corpus
"Secondly, the Plan did not place the necessary emphasis on achieving a one-State solution with a central Government able to guarantee the single, sovereign character of Cyprus.",No,UN General Debates Corpus
"In rejecting the Plan as a settlement for the Cyprus problem, the Greek Cypriots did not reject the solution or the reunification of their country; they rejected this particular Plan as not effectively achieving that objective.",No,UN General Debates Corpus
The international community is now facing challenges and threats that were unknown when the Charter of the United Nations was drafted.,No,UN General Debates Corpus
"In line with General Assembly resolutions, the Slovak Government sponsored a United Nations seminar held in the Slovak Republic last May, which was attended by a wide range of delegates from more than 70 Member States.",No,UN General Debates Corpus
"Slovakiaís proactive approach in that regard was demonstrated by the political stance it adopted towards the resolution of those conflicts, as well as its participation in peacekeeping missions: the Stabilization Force for Bosnia and Herzegovina and the Kosovo Force for the Province of Kosovo.",No,UN General Debates Corpus
"The Interim Council, which was recently established by the National Conference, represents a significant step forward in preparing for the elections to be held in January 2005.",No,UN General Debates Corpus
"Many innocent lives continue to be wasted, with people killed or maimed and multitudes displaced by heinous acts designed to undermine and destabilize the collective efforts of the international community to achieve peace and security for our societies.",No,UN General Debates Corpus
The imperatives for action by the Organization and the international community to address those events and their causes have been eloquently articulated by leaders who have spoken earlier from this rostrum.,No,UN General Debates Corpus
"In strengthening further the institutions of good governance in Pacific nations, the important role of non-State actors and civil society was highlighted by the Pacific leaders.",No,UN General Debates Corpus
"When we met last year at the Assembly’s fifty- eighth session, we were deeply distressed that there was so much gloom in the international situation as a result of a breakdown in the multilateral negotiating processes.",No,UN General Debates Corpus
"We were bitterly divided over the invasion of Iraq; there was great disappointment about the deadlock in the World Trade Organization ministerial meeting in Cancún, and we had to mourn the death of international civil servants who were killed during an act of terrorism against the United Nations headquarters in Baghdad.",No,UN General Debates Corpus
"Today, 73,600 fighters have been disarmed.",No,UN General Debates Corpus
"Over 22,000 pieces of serviceable weapons of all kinds have been surrendered and decommissioned, and more than 17  5 million rounds of ammunition collected and destroyed by UNMIL.",No,UN General Debates Corpus
It must not be forgotten that the sanctions were imposed primarily because Liberia was exporting conflict by trafficking in arms for diamonds.,No,UN General Debates Corpus
"A related reason was the lack of transparency and accountability in the management of State resources, especially from the forestry sector and the maritime programme.",No,UN General Debates Corpus
The aim of the conference was to seek support for our two-year reconstruction plan.,No,UN General Debates Corpus
"I am happy to report that, to date, $455 million of those pledges have been classified as firm commitments.",No,UN General Debates Corpus
"Elections in Liberia are not new, but most have been characterized by widespread rigging.",No,UN General Debates Corpus
"Thus, unfair elections in themselves have been a major source of conflict in Liberia.",No,UN General Debates Corpus
"We cannot fail now, for we have seen the cost of war as compared to the price of peace.",No,UN General Debates Corpus
"We want the Organization to remain extremely active in its initiatives to restore peace, particularly in the Middle East and in Africa, to all areas where conflicts today have become chronic and are steadily worsening.",No,UN General Debates Corpus
"We were all eager to expand the positive achievements of the twentieth century, which witnessed rapid technological and social progress, the beginning of the space age, the advancement of democracy and the globalization of the planet.",No,UN General Debates Corpus
"The 2005-2015 International Decade for Action, “Water for Life”, to be launched on 22 March 2005, was initiated by our country and is expected to combine efforts undertaken by Governments, the United Nations, international organizations, civil society and the private sector.",No,UN General Debates Corpus
"As a result, millions of dollars have been removed from 11  circulation and hundreds of thousands of people the world over have been saved from narcotics dependency.",No,UN General Debates Corpus
"The Bolivian response to that crisis was issued peacefully, in respect for democracy, through a mechanism of constitutional succession that allowed me, as Vice-President, to take office as President and to assume the enormous challenges to the country in order to restore order, peace and the prospects and hopes of our society.",No,UN General Debates Corpus
"Positive results allowed for macroeconomic stability, but genuinely inadequate results in the social sphere were the outcome primarily of exhaustion and the need for different responses.",No,UN General Debates Corpus
"All of those historical arrears fell due in October, leading to a popular upheaval that ended in social turmoil, calling not only for a short- term response — ours, I believe, was effective in that democracy and peace were preserved — but also and above all for a forward-looking solution.",No,UN General Debates Corpus
One of the country’s key issues was the definition of an energy policy once we learned that our nation has one of the largest reserves of natural gas in South America.,No,UN General Debates Corpus
"We chose a path that was difficult, yet attractive, and that marked our desire for democratic participation and participative democracy — please forgive the wordplay — within our society.",No,UN General Debates Corpus
We opted for a binding referendum in which the people of Bolivia were able to decide what they wished to do with their most important energy resources.,No,UN General Debates Corpus
It was successfully held on 18 July.,No,UN General Debates Corpus
"In that context, I wish here at the United Nations to thank the international community, which was consistent and unified in its support for Bolivia during the crisis and in the following months, helping us to implement a consistent macroeconomic policy to resolve such serious issues as its heavy fiscal deficit.",No,UN General Debates Corpus
Bolivia was born as an independent country with a coastline on the Pacific Ocean.,No,UN General Debates Corpus
"They are hungry, they are homeless, they are sick, and many have been driven out of their own country.",No,UN General Debates Corpus
"Tens of thousands have been murdered, raped and assaulted.",No,UN General Debates Corpus
"The fact is that, as we all know, determined proliferators have been able to circumvent their treaty obligations.",No,UN General Debates Corpus
"Despite the transitional period and the collapse of our economy, my country — a large area of the former Soviet Union — was the first to solve the problem of malnutrition.",No,UN General Debates Corpus
Last year’s two-day High-Level Dialogue on Financing for Development was not enough to put in place ongoing monitoring of the implementation of the decisions of the International Conference on Financing for Development.,No,UN General Debates Corpus
There have been many pessimistic analyses of its work and its potential.,No,UN General Debates Corpus
"The people of Venezuela were faced with such a decision last month, with a referendum on the presidency.",No,UN General Debates Corpus
"In my country, by the late eighties, a set of structural adjustments, developed under the influence of the main centres of neo-liberal capitalism, was met with a popular uprising that paralysed the country, leaving an indelible mark on our people’s minds.",No,UN General Debates Corpus
"That resistance, popularly known as “El Caracazo”, was perhaps the first protest against neo-liberalism.",No,UN General Debates Corpus
That was a painfully tragic moment for the people of Venezuela.,No,UN General Debates Corpus
"Wherever the architects of neo- liberalism gathered, they were met with massive protests in the streets.",No,UN General Debates Corpus
"Besides being the initial site of neo-liberalism’s devastating experiment, Latin America was also the first to experience anti-neo-liberal explosion.",No,UN General Debates Corpus
"In that regard, we support the candidacy of Brazil as a permanent member of an expanded Council.",No,UN General Debates Corpus
"The United Nations was born in a world that was traumatized by the atrocities of Second World War, yet had the hope of creating a world of greater dignity for human beings.",No,UN General Debates Corpus
"Under his visionary leadership, significant progress was made in advancing the revitalization of the General Assembly and in ensuring the return of development to the forefront of the issues addressed by the Assembly.",No,UN General Debates Corpus
"A dispute between the United States of America and the European Union resulted in a ruling by the World Trade Organization that destroyed the banana industry, which was the backbone of the economy of Dominica.",No,UN General Debates Corpus
"Notwithstanding our participation in multilateral institutions, the two shocks to which I referred were exogenous — originating outside our country and having nothing to do with the internal economic management of Dominica.",No,UN General Debates Corpus
We are satisfied that the more rational approach that we are suggesting can solve many problems that have been in existence for generations.,No,UN General Debates Corpus
"Unspeakable devastation has taken place in Grenada; Jamaica has suffered substantial loss of life and damage to property; parts of the Cayman Islands were submerged, and the death toll in Haiti and Santo Domingo has been horrendous.",No,UN General Debates Corpus
"Last year was extremely challenging, for both the world community and the United Nations.",No,UN General Debates Corpus
"In that context, we look forward to reading the report being drafted by the High-Level Panel on Threats, Challenges and Change, which was created by the Secretary-General.",No,UN General Debates Corpus
The Republic of Macedonia has presented its candidacy for the election to the Economic and Social Council to be held during this session.,No,UN General Debates Corpus
"We were all horrified by the images of human suffering in Madrid, Beslan and elsewhere.",No,UN General Debates Corpus
"However, despite the considerable progress made at the level of stabilization and improved security in the region, not all sources of potential instability have been eliminated.",No,UN General Debates Corpus
"As a consequence, the credibility and even the legitimacy of the United Nations have been called into question.",No,UN General Debates Corpus
"Jamaica, the Bahamas, the Cayman Islands, Haiti, Cuba and other Caribbean countries, including my own, have been severely affected.",No,UN General Debates Corpus
